Title,Price,Tags
Galactic Ruler,Rp 127 499,"Early Access, Strategy, Simulation, Indie"
Call of Russia: Furry Warfare (Putin vs Furries),Rp 32 999,"Action, Simulation, Adventure, Action-Adventure"
Sakuna: Of Rice and Ruin,Rp 635 000,"Action, Farming Sim, Story Rich, Side Scroller"
Observer: System Redux,Rp 125 999,"Horror, Investigation, Hacking, Stealth"
Raiders! Forsaken Earth,Rp 92 649,"CRPG, Grand Strategy, Tactical RPG, Sandbox"
XIII,Rp 169 999,"FPS, Shooter, Stealth, PvP"
Plague M.D.,Rp 41 649,"Indie, Simulation, Funny, Adventure"
The Falconeer,Rp 125 999,"Flight, Open World, Third Person, Exploration"
House on the Hill,Rp 41 869,"Horror, Adventure, Indie, Action"
FUSER™,Rp 900 000,"Casual, Rhythm, Music, Character Customization"
Snowballs,Rp 6 799,"Casual, Action, Indie, Massively Multiplayer"
Prodeus,Rp 119 999,"Action, Indie, Gore, FPS"
Dojoran,Rp 31 999,"Adventure, Action, Action-Adventure, Platformer"
Swing Dunk (Open Beta),Free To Play,"Sports, Shooter, Third-Person Shooter, 3D"
Tarek,Rp 38 999,"Casual, Adventure, Puzzle, Arcade"
Football Manager 2021,Rp 449 999,"Sports, Simulation, Singleplayer, Management"
Sea of Thieves,Rp 101 999,"Adventure, Action, Multiplayer, Open World"
Nioh: Complete Edition / 仁王 Complete Edition,Rp 185 700,"Souls-like, Action, RPG, Difficult"
Sakuna: Of Rice and Ruin,Rp 635 000,"Action, Farming Sim, Story Rich, Side Scroller"
Phasmophobia,Rp 89 999,"Horror, Online Co-Op, Multiplayer, Psychological Horror"
Among Us,Rp 39 999,"Multiplayer, Online Co-Op, Space, Social Deduction"
Cyberpunk 2077,Rp 699 999,"Cyberpunk, Open World, RPG, Futuristic"
EA SPORTS™ FIFA 21,Rp 560 340,"Sports, Soccer, PvP, Runner"
Danganronpa 1/2/V3,Rp 112 707,"Anime, Visual Novel, Detective, Story Rich"
PLAYERUNKNOWN'S BATTLEGROUNDS,Rp 219 999,"Survival, Shooter, Multiplayer, Battle Royale"
Baldur's Gate 3,Rp 699 999,"Early Access, RPG, Dungeons & Dragons, Choices Matter"
Fall Guys: Ultimate Knockout,Rp 108 999,"Multiplayer, Funny, Battle Royale, Online Co-Op"
THE KING OF FIGHTERS XIV STEAM EDITION,Rp 94 999,"Fighting, Arcade, Action, 2D Fighter"
Hades,Rp 119 999,"Action Roguelike, Action, Indie, RPG"
Grand Theft Auto V,Rp 290 000,"Open World, Action, Multiplayer, Automobile Sim"
Counter-Strike: Global Offensive,Free to Play,"FPS, Shooter, Multiplayer, Competitive"
Dota 2,Free to Play,"Free to Play, MOBA, Multiplayer, Strategy"
PLAYERUNKNOWN'S BATTLEGROUNDS,Rp 219 999,"Survival, Shooter, Multiplayer, Battle Royale"
Among Us,Rp 39 999,"Multiplayer, Online Co-Op, Space, Social Deduction"
Destiny 2,Free To Play,"Free to Play, Multiplayer, Looter Shooter, FPS"
Apex Legends™,,"Battle Royale, Free to Play, First-Person, Shooter"
Grand Theft Auto V,Rp 290 000,"Open World, Action, Multiplayer, Automobile Sim"
Team Fortress 2,Free to Play,"Free to Play, Hero Shooter, Multiplayer, FPS"
Rust,Rp 169 999,"Survival, Crafting, Multiplayer, Open World"
Tom Clancy's Rainbow Six® Siege,Rp 205 000,"FPS, Hero Shooter, Multiplayer, Tactical"
ARK: Survival Evolved,Rp 209 999,"Open World Survival Craft, Survival, Open World, Multiplayer"
Phasmophobia,Rp 89 999,"Horror, Online Co-Op, Multiplayer, Psychological Horror"
Football Manager 2020,Rp 449 999,"Simulation, Sports, Management, Soccer"
Warframe,Free to Play,"Free to Play, Looter Shooter, Action, Co-op"
PAYDAY 2,Rp 69 999,"Co-op, Action, FPS, Heist"
International Tennis Open,,"Sports, Simulation, Tennis, Retro"
xTypeVersus,,"Early Access, Typing, Experimental, Hacking"
Diarrhea Don,,"Casual, 2D Platformer, Pixel Graphics, Singleplayer"
Default Unreal Physics and Assets AKA DUPA Project,,"Puzzle, Physics, Logic, Singleplayer"
Rising Constellation,,"Early Access, Massively Multiplayer, 4X, Grand Strategy"
Flat Earth Simulator,,"Experimental, Exploration, 3D, Simulation"
MiniFarm 2020,Rp 13 999,"Simulation, Adventure, Farming Sim, 3D"
The Adventurer - Episode 2: New Dreams,,"Casual, Indie, Puzzle, Adventure"
EX LIFE,Rp 39 999,"First-Person, Singleplayer, 3D, Puzzle"
Labyrinth,,"Action, Character Action Game, Exploration, Dungeon Crawler"
SUPER WHIPLASH,,"Action, Casual, Racing, Arcade"
Neon Parasite,,"2D Fighter, Pixel Graphics, PvP, Action"
Ghost Stories 2,Rp 58 499,"Adventure, Action, Survival, Exploration"
Holy Potatoes! I'm A Hero?!,,"Action, Casual, Strategy, Indie"
Space Soldier,,"Casual, Action Roguelike, RPG, Action"
